v1,v2
ham,Did you complete the assignment?
ham,How was your day?
ham,"Hey, are you coming to the party tonight?"
ham,How was your day?
ham,I'll call you once I'm free.
ham,See you at the gym tomorrow.
ham,Can we meet for coffee this weekend?
ham,Did you complete the assignment?
ham,See you at the gym tomorrow.
ham,I'll call you once I'm free.
ham,See you at the gym tomorrow.
ham,Did you complete the assignment?
ham,The meeting is scheduled at 3 PM.
ham,How was your day?
ham,I'll call you once I'm free.
ham,"Hey, are you coming to the party tonight?"
ham,See you at the gym tomorrow.
ham,"Hey, are you coming to the party tonight?"
ham,Did you complete the assignment?
ham,Can we meet for coffee this weekend?
ham,Can we meet for coffee this weekend?
ham,Don't forget your appointment tomorrow at 10 AM.
ham,Did you complete the assignment?
ham,"Hey, are you coming to the party tonight?"
ham,Let's catch up later!
ham,I'll call you once I'm free.
ham,The meeting is scheduled at 3 PM.
ham,"Hey, are you coming to the party tonight?"
ham,How was your day?
ham,I'll call you once I'm free.
ham,How was your day?
ham,"Hey, are you coming to the party tonight?"
ham,Did you complete the assignment?
ham,Let's catch up later!
ham,Can you send me the report by EOD?
ham,The meeting is scheduled at 3 PM.
ham,Can we meet for coffee this weekend?
ham,Let's catch up later!
ham,The meeting is scheduled at 3 PM.
ham,"Hey, are you coming to the party tonight?"
ham,I'll call you once I'm free.
ham,Can we meet for coffee this weekend?
ham,Did you complete the assignment?
ham,The meeting is scheduled at 3 PM.
ham,Let's catch up later!
ham,The meeting is scheduled at 3 PM.
ham,The meeting is scheduled at 3 PM.
ham,See you at the gym tomorrow.
ham,Can you send me the report by EOD?
ham,Don't forget your appointment tomorrow at 10 AM.
spam,Exclusive deal just for you! Limited time offer!
spam,Get cheap meds online at pharmacydealz.com
spam,Claim your free gift card at spamlink.com
spam,You've won a lottery! Send your bank details.
spam,Claim your free gift card at spamlink.com
spam,Buy 1 get 1 free offer on all items. Visit now!
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Exclusive deal just for you! Limited time offer!
spam,You're a lucky winner! Contact us now.
spam,Claim your free gift card at spamlink.com
spam,Exclusive deal just for you! Limited time offer!
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,You have been selected for a cash prize of $5000!
spam,Claim your free gift card at spamlink.com
spam,Buy 1 get 1 free offer on all items. Visit now!
spam,You've won a lottery! Send your bank details.
spam,Earn money from home. No experience required!
spam,Claim your free gift card at spamlink.com
spam,You have been selected for a cash prize of $5000!
spam,Earn money from home. No experience required!
spam,Get cheap meds online at pharmacydealz.com
spam,Buy 1 get 1 free offer on all items. Visit now!
spam,You've won a lottery! Send your bank details.
spam,Exclusive deal just for you! Limited time offer!
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,You have been selected for a cash prize of $5000!
spam,You've won a lottery! Send your bank details.
spam,Act now! Lowest rates on loans.
spam,Buy 1 get 1 free offer on all items. Visit now!
spam,Claim your free gift card at spamlink.com
spam,You're a lucky winner! Contact us now.
spam,Claim your free gift card at spamlink.com
spam,You've won a lottery! Send your bank details.
spam,Get cheap meds online at pharmacydealz.com
spam,Claim your free gift card at spamlink.com
spam,You're a lucky winner! Contact us now.
spam,Act now! Lowest rates on loans.
spam,Act now! Lowest rates on loans.
spam,You have been selected for a cash prize of $5000!
spam,Claim your free gift card at spamlink.com
spam,Congratulations! You've won a free iPhone. Click here to claim.
spam,Get cheap meds online at pharmacydealz.com
spam,Claim your free gift card at spamlink.com
spam,You have been selected for a cash prize of $5000!
spam,Get cheap meds online at pharmacydealz.com
spam,Claim your free gift card at spamlink.com
spam,You have been selected for a cash prize of $5000!
spam,Buy 1 get 1 free offer on all items. Visit now!
spam,Exclusive deal just for you! Limited time offer!
spam,Get cheap meds online at pharmacydealz.com
